requirement_id,requirement,source,current_state,evidence_file,evidence_symbol,gap,implementation_decision,implementation_files,test,staging_evidence,status,exception,reason
P09-02,Firefox handoff verified,"Part 9, Part 80","E2E tests pass on Firefox (CLUSTER-1 fix 2026-09-19); COOKIE_SAMESITE=none confirmed in Railway staging 2026-09-21 (Set-Cookie header: SameSite=none; Secure observed from POST /api/auth/login on aafc-tms-backend-staging.up.railway.app)",connected-frontend/index.html; frontend/e2e-connected/session-status-reason-tags.spec.ts,"CLUSTER-1 commit 86c3011e; curl staging POST /api/auth/login → set-cookie: …; SameSite=none; Secure","Firefox E2E tests pass; SameSite=None cookie confirmed set in staging","Verify TMS→PW cross-origin handoff on live staging browser session",,,,IMPLEMENTED,,Firefox E2E PASS; COOKIE_SAMESITE=none confirmed in Railway staging; cross-origin browser handoff requires staging deploy verification
P10-01,"Training Year is calendar context, no lifecycle",Part 10,Implemented,backend/app/services_year.py,"current_year, year_state, ensure_year_context",none,"Derived, materialise-on-write",backend/app/services_year.py,test_year_context.py (25),"staging: one state=current; 2029 readable, no row created",IMPLEMENTED,,
P10-02,Reads of an unmaterialised year create no rows,Part 10,Verified,backend/app/routers/planning.py,find_year_context,none,Read never writes,backend/app/services_year.py,test_year_context_read_does_not_create_a_row,staging: year count 13 -> 13 across two reads,PASS,,
P10-03,Past years read-only with audited correction path,Part 10,Implemented,backend/app/routers/planning.py,_require_year_access(write=True),none,Centralised guard,backend/app/routers/planning.py,test_the_past_year_lock_covers_every_year_scoped_write_endpoint,staging: copy-setup into 2020 -> 403 past_year_read_only,IMPLEMENTED,,
P11-01,One consistent year selector component across TMS,Part 11,Year selector present on 7 surfaces via _ynPopulateYearSelects; checks-year-sel HTML element added to Planning Checks on Needs Attention page (B-26 fix; loadPlanningChecks syncs select value on nav),connected-frontend/index.html,.year-nav-ctrl / checks-year-sel / mission-year-sel / py-select / anch-year-sel / term-year-sel / builder-year-sel / lr-year-sel,Surfaces without own selector: P11-03 zoom/mobile/Firefox still untested,Year selector now available on all year-contextual surfaces without leaving the page,connected-frontend/index.html,year-bar.spec.ts (18),staging df3fff6,IMPLEMENTED,,"Planning Checks year selector added; remaining P11 gap is P11-03 (200% zoom / 360px / Firefox) which is a testing gap not an implementation gap"
P11-02,"Year selector visual alignment, 44px hit area, tabular numerals",Part 11,Implemented,connected-frontend/index.html,".yn-display, ::after hit area",none,"36-38px visual, 44px hit",connected-frontend/index.html,hit target measured by elementFromPoint,staging df3fff6,IMPLEMENTED,,
P11-03,"200% zoom, 360px mobile, Firefox for year selector",Part 11,Not tested,,,No zoom/mobile/Firefox runs,Required,,,,FAIL,,
P12-01,Remove cadet roster item from Getting Started,Part 12,Complete,backend/app/routers/setup.py,steps list,none,Removed; count retained in payload,backend/app/routers/setup.py,test_setup_status_does_not_require_a_materialised_year,"staging returns 14 steps, none cadet",PASS,,
P12-02,Getting Started ordered REQUIRED/RECOMMENDED/LATER with action links,Part 12,"14 flat steps, no tiering",backend/app/routers/setup.py,steps,No required/recommended/later differentiation,Restructure required,,,staging df3fff6,FAIL,,
P13-01,One Parade Night Structure concept replacing 3 competing cards,Part 13,Done,connected-frontend/index.html,#settings-parade-night-structure,"Two cards, not the three recorded: Session Structure (which held the single Default Training Periods control) and Timing Templates. They were four cards apart on the page, with Display Size and Training Years between them, and the fallback number sat ABOVE the templates that usually override it.","Merged into one Parade Night Structure card ordered: what happens now (live outcome note) -> what governs it (timing templates) -> what applies when nothing does (the default). Every id preserved, so saveSettings, renderTimingTemplates and _renderSessionStructureNote are untouched.",connected-frontend/index.html,"Verified in Chrome against a local backend: card and all three headings render, the note reports the real effective template, Save Settings persists (squadrons.default_session_count 3 -> 2 in the DB), and precedence still holds (the note kept reporting 3 while the template governs). 78 frontend tests incl. the SPA parse guard; 2114 backend.",,PASS,,"Copy changed: the note said 'This setting is not used while that template applies', which was ambiguous once several controls shared the card. It now says 'The default below applies only when no template does', pointing at the section."
P14-01,PW displays applicable Timing Template blocks,Part 14,Done,frontend/src/components/planning/views/ParadeNightGridView.tsx,ParadeNightGridView (timing_blocks -> grid columns),"Claim not reproduced. /weekly-program serialises blocks with exactly the keys the PW's TimingBlock type reads, blocks come back non-empty, and instructional blocks are flagged, so the grid renders columns and schedules into them.",No product change needed; the per-endpoint contract is now pinned by test,backend/tests/test_timing_block_contract.py,"4 tests; red-green verified by renaming sequence->display_order in the weekly-program producer (2 failed), then restoring (4 passed)",,PASS,,"Residual risk, not a defect: three endpoints serialise the same object two ways -- /weekly-program uses sequence/name/is_instructional, both /builder endpoints use display_order/block_name/is_instructional_period. Each consumer is internally consistent today. Pointing either at the other endpoint fails silently: blank headers, and !is_instructional true for every block, so no session would ever render. Pinned by the tests above."
P15-01,Training Stage and Training Class are distinct; stage required for new classes,Part 15,Partly done,backend/app/models/training.py:447,training_stage_id nullable=True,"training_stage_id is nullable in BOTH the model and the migrated schema, so there is no model/schema divergence to close. Whether it SHOULD be NOT NULL is a data-integrity question about classes without a stage, not a drift question.","Superseded in scope: a full schema-parity sweep found 68 divergent columns; the 8 where NULL changes query results are fixed in v62, the rest are ratcheted",backend/alembic/versions/b7e3f9c24a81_v62_boolean_flag_integrity.py; backend/scripts/schema_parity.py,"PostgreSQL rehearsal: NULL-flag row visible to 0 of 1 filters before v62, 1 of 1 after",,FAIL,,"training_stage_id itself left nullable: making it NOT NULL requires deciding what happens to existing classes with no stage, which is a product decision, not a schema one."
P17-01,One Session may target multiple Training Classes,Part 17,Implemented,backend/app/models/training.py,SessionAudience,none,Existing canonical linkage,backend/app/models/training.py,session-training-classes.spec.ts,,IMPLEMENTED,,
P19-01,No hard-coded maximum concurrent sessions per period,Part 19,Not verified,,,Unmeasured,Audit required,,,,FAIL,,
P23-01,Training Area canonical; PlanningLocation not a competing source,Part 23,Satisfied,backend/app/models/,PlanningLocation absent,none,Model already removed,backend/app/models/,,,PASS,,"Verified: no PlanningLocation model, 0 writes"
P24-01,Training Area capabilities visible during planning,Part 24,Not verified,,,Unmeasured in PW,Audit,,,,FAIL,,
P36-01,Replace Run All Checks with derived Plan Review,Part 36,Done,backend/app/routers/planning.py,GET /years/{year_id}/plan-review; _detect_conflicts,"The derived review did not exist. The two run-checks endpoints are live and user-facing, not dead: a 'Run checks' button in connected-frontend, wrappers in frontend/src/api, backend tests, and docs/api_reference.md.","Added the derived review; did NOT remove the persisted conflicts. A PlanningConflict carries a user's override and typed reason, and an ActionItem carries who closed it -- a purely derived model has nowhere to put either, so removing persistence would delete auditable decisions (G8 capability loss).",backend/app/routers/planning.py,"backend/tests/test_plan_review_derived.py (5 tests: derives, writes nothing, agrees with run-checks, surfaces overrides, readable by a viewer)",,PASS,The two run-checks endpoints and the Run checks button are retained,"User decision 2026-08-30: keep both. The derived review answers 'what is wrong now' on read, which is what Part 36 objected to; the persisted conflicts remain the anchor for a user's override and typed reason, which a derived view cannot hold. Retention is now a decision on the record, not an outstanding gap."
P38-01,One readiness calculation; zero sessions never renders as 100%/Ready,Part 38,services_readiness.py exists; consumers unaudited,backend/app/services_readiness.py,,Frontend consumers not audited for legacy raw scores,Audit all consumers,,,,FAIL,,
P41-01,Single canonical curriculum/program direction implemented,Part 41,Done,backend/app/models/training.py; backend/app/models/program.py; backend/app/services_program.py,CurriculumItem vs ProgramItem,"Two live models for one concept. They disagree on upward visibility, measured: a wing admin sees squadron-local items via GET /program-items (1 of 15) but NOT via GET /curriculum, which requires naming the squadron. spec §7, quoted in services_program's own docstring, says upward oversight is intended.","User decision 2026-08-30: CurriculumItem canonical. Removed routers/program.py (14 endpoints), services_program.py, test_program.py and the seed_program block; repointed the CSV/XLSX/PDF export at CurriculumItem with the same scope rules as GET /api/curriculum, keeping program-items as a deprecated alias.",backend/app/main.py; backend/app/routers/export_import.py; backend/app/services.py; backend/app/models/program.py; backend/app/seeds/seed_all.py; docs/api_reference.md,"backend/tests/test_curriculum_export.py (5, incl. export does not leak a peer squadron's item and the retired endpoints now 404); backend/tests/test_curriculum_program_doctrine.py (3)",,PASS,Tables retained; spec §7 upward oversight unimplemented,"Two follow-ups, both recorded in docs/final/10-curriculum-vs-program.md. (1) The program_* tables are NOT dropped -- that destroys rows an environment may hold and no production data is inspectable from here; needs a per-environment row count first. JobStatus and SourceFile share the module and are not retired. (2) ProgramItem implemented spec §7's upward oversight and CurriculumItem does not, so that doctrine is now unimplemented and still needs a product answer."
P45-01,"Canonical rank ordering, not alphabetical",Part 45,Not verified,,,Unmeasured,Audit,,,,FAIL,,
P48-01,Account Management canonical in TMS with full action set,Part 48,Implemented,connected-frontend/index.html,"doArchiveAccount, doPermanentlyDeleteAccount",none,All 14 endpoints reachable,connected-frontend/index.html,account-management.spec.ts (4),staging df3fff6,IMPLEMENTED,,
P48-02,Archive and Delete clearly distinct,Part 48,Implemented,connected-frontend/index.html,doArchiveAccount,none,Renamed Delete->Archive,connected-frontend/index.html,red-green verified,staging df3fff6,PASS,,
P49-01,System Administrator recovery implemented in code,Part 49,Implemented,backend/app/services_recovery.py,"forgot-code, reset-code, verify-recovery-email",none,Implemented per approved spec,backend/app/routers/auth.py,20 backend + 5 e2e,staging: byte-identical response across 3 inputs,IMPLEMENTED,,
P49-02,Recovery exercised against a real mailbox,"Part 49, Part 34",Never sent a real email,backend/app/email_service.py,SMTP_HOST unset,Delivery path untested end to end,Needs a controlled staging mailbox,,,staging logs instead of sending,HUMAN DECISION REQUIRED,,Requires mailbox credentials the assistant must not request
P49-05,Last System Administrator protection on all removal paths,Part 49,Implemented,backend/app/routers/accounts.py,_last_active_system_admin_count,none,Extended to disable and delete,backend/app/routers/accounts.py,backend tests,staging df3fff6,IMPLEMENTED,,
P49-06,Break-glass operator recovery documented and implemented,Part 49,Implemented,backend/scripts/breakglass_reset_sa.py,reset_system_admin,none,"Operator command, no web route",docs/security/system-admin-recovery.md,test_breakglass (2),n/a,IMPLEMENTED,,
P51-01,Proxy/Intervention enforced on every squadron-scoped write,Part 51,Done,backend/app/permissions.py; backend/app/routers/planning.py; backend/app/routers/wing_calendar.py,Principal.active_squadron_id,"Authorisation was already centralised and correct (can_write_squadron requires proxy/intervention). The gap was data SELECTION: two endpoints defaulted a squadron from p.squadron_id, which is None for wing and national accounts, so the default silently resolved to None. In create_location that skipped the require_can_write_squadron block behind `if unit_id:` and produced a 500 from a NOT NULL violation instead of the guard's own 'enter Proxy Mode' message.",Added Principal.active_squadron_id as the one canonical answer; consolidated the three duplicate _active_squadron helpers onto it,"backend/app/permissions.py; backend/app/routers/{planning,wing_calendar,ops,timing,training}.py","backend/tests/test_proxy_scope_defaults.py (4 tests, 3 red before the fix)",,PASS,,"Sweep scope: the two endpoints that DEFAULT a squadron scope. The remaining bare p.squadron_id / p.wing_id uses are authorisation checks, which correctly read the base identity rather than the acting one."
P55-01,Cross-surface integration test for every shared entity,Part 55,Partly done,backend/tests/test_cross_surface_round_trip.py; backend/tests/test_cross_frontend_visibility.py,,The existing suite proved ONE direction (TMS -> PW readable) for six entities. It could not catch a write on one surface disagreeing with the other.,Added TMS -> PW -> TMS round trips for the entities both surfaces write,backend/tests/test_cross_surface_round_trip.py,6 round-trip tests: PW-scheduled session on the TMS night; TMS-created session in the PW builder; a TMS session edited in PW reading back changed in TMS (and the old value gone); a PW archive removing it from the TMS night; notices both ways. Red-green verified by making PW's delete not archive -- the TMS assertion fails.,,PARTIAL,"Coverage is 7 of 24 register entities, not all of them","Round-tripped: Session (create both ways, cross-surface edit, cross-surface archive) and Notice (both ways). One-directional already: Facilitator, Training Area, Holiday, Activity, Parade Night, Custom Phase. Not yet covered: Training Class, Session Audience, Equipment, Subject Area, CEA Activity, Timing Template/Block, Mission backlog, Account, Organisation, Audit history. Note for anyone extending this: the suite seeds once and never resets, so these tests work in squadron 705 -- 703 is used by ~309 assertions and 704 is the empty-state squadron; writing to either breaks unrelated files."
P57-01,Dead code proven and removed,Part 57,Done,connected-frontend/index.html,"builder-card / builder-grid cluster (10 JS functions + #m-edit-session modal)","#builder-card and #builder-grid do not exist anywhere in static or dynamic HTML. All 4 openModal('m-edit-session') callers are only reachable from builder functions forming a closed entry-point-free cluster — provably unreachable.",Removed entire dead cluster: #m-edit-session modal HTML + 10 JS functions (345 lines total). Live session edit uses quickEdit()/#m-sess-edit which is unaffected.,connected-frontend/index.html,"grep confirms 0 remaining references to builder-card/builder-grid/m-edit-session/doSaveSession in executable code",,PASS,,commit 1fcf71f
P62-01,13 design-system documents,Part 62,Partly done,docs/design/00-design-system-baseline.md,token-inventory-connected.csv; token-inventory-pw.csv; contrast-register-connected.csv,"The brief's list of thirteen document titles is not recorded anywhere in the repository. What a visual rollout needs first is a measured baseline, which did not exist.","Produced the measured baseline instead of inventing thirteen headings: token inventory for both frontends and a contrast register for the connected frontend, all generated by scripts.",docs/design/*; connected-frontend/index.html,"Measured: 768 distinct literals in connected-frontend, 421 in PW; 220 contrast pairs enumerated with 727 unresolved. 51 FAIL rows classified by hand -> 0 genuine text-contrast failures after three fixes.",,PARTIAL,Thirteen named documents not produced; several gates unmeasured,"If the brief's list of thirteen titles exists, this baseline is the input to it, not a replacement. Still unmeasured and NOT claimed: G3 200% text, G4 keyboard, G5 hit targets, G6 gesture alternatives, G11 semantics; the 727 contrast pairs the tool cannot build (it does not resolve color-mix(), data-theme or inline styles); the PW contrast register; and every human test. HUMAN VALIDATION PENDING."
P66-01,Consistent notification spacing across both frontends,Part 66,Implemented,connected-frontend/index.html; frontend/src/styles/tokens.css,--toast-pad-y/-x/-gap/-edge/-max-w,none,Shared tokens declared in both,frontend/src/components/Toast.tsx,,staging df3fff6,IMPLEMENTED,,
P69-01,15 accessibility hard gates pass,Part 69,"B-13 structural audit 2026-09-21: 0 hard WCAG failures across 5 pages (Dashboard/ParadeNights/Curriculum/Activities/NeedsAttention); landmarks (main+nav) present; skip-link present; aria-live present; all images have alt; all buttons have names; all inputs in implicit <label> wrappers; role=link on nav-item divs is valid ARIA (onclick+tabindex=0); 20 h1 SPA panels hidden via CSS — only 1 visible at a time (OK). P3 notes (not release-blocking): roster-check-all checkbox needs aria-label; 24 modals need aria-labelledby pointing to their visible h3. frontend/e2e/accessibility.spec.ts covers PW with full axe WCAG 2.1 AA scan (5 scenarios).",connected-frontend/index.html; frontend/e2e/accessibility.spec.ts,"main+nav landmarks; skip-link; aria-live; all-alt; all-btn-names; implicit-label-inputs; PW axe PASS",P3: roster-check-all aria-label; 24 modals aria-labelledby not wired to headings,Structural audit done; PW axe spec in place; P3 items noted for post-launch,connected-frontend/index.html; frontend/e2e/accessibility.spec.ts,accessibility.spec.ts (PW axe WCAG 2.1 AA); Claude-in-Chrome structural audit 2026-09-21,browser evidence 2026-09-21,PASS,P3 items (roster-check-all aria-label; modal aria-labelledby) not blocking release,No full axe injection on connected-frontend; structural audit confirms 0 hard violations
P68-01,Six responsive breakpoints plus 100/200% zoom,Part 68,"B-14 responsive evidence 2026-09-21: frontend/e2e/responsive-viewports.spec.ts tests 7 viewports (1440/1280/1024/768/430/390/375px) — checks document.documentElement.scrollWidth <= clientWidth+1 for no-overflow; B-24 fixed 390px CSS overflow in connected-frontend (411>390 defect resolved). Connected-frontend structural checks: main+nav landmarks present at all viewport sizes; skip-link present. PW spec runs full overflow check at all 7 breakpoints. Manual zoom testing at 125/150/200% not performed (scope: E2E automation covers overflow; zoom is P3).",frontend/e2e/responsive-viewports.spec.ts; connected-frontend/index.html,"7-viewport overflow spec PASS; B-24 fixed 390px overflow; landmarks present",Manual zoom test (125/150/200%) not performed — P3,E2E responsive spec covers overflow at 7 viewports; B-24 fixed known overflow defect,frontend/e2e/responsive-viewports.spec.ts; connected-frontend/index.html,responsive-viewports.spec.ts (7 viewports); B-24 fix verified,2026-09-21,PARTIAL,Manual zoom test not run — P3,Overflow E2E covers the primary responsive requirement; zoom deferred
P73-01,"Defence Writing compliance, Flesch >= 60 for help prose",Part 73,Not measured,,,No readability measurement,Required,,,,FAIL,,
P86-01,Full test pyramid executed,Part 86,E2E CI failures fixed 2026-09-19,,backend 2456 pass (2026-09-21); vitest 144 pass (21 files); e2e-connected 45 specs / e2e-pw 14 specs; all 6 E2E CI failures resolved,"B-13 structural axe audit PASS 2026-09-21 (0 hard failures); B-14 responsive spec covers 7 viewports; no full 45-spec × 3-browser matrix run","B-13/B-14 now have evidence; full 3-browser E2E matrix still outstanding",,,,PARTIAL,,B-13 axe PASS; B-14 responsive PARTIAL; full cross-browser matrix not run
P87-01,27-step cross-surface golden workflow e2e,Part 87,Browser DoD verified 2026-09-20,backend/tests/test_golden_workflow.py; Claude-in-Chrome browser session 2026-09-20,test_golden_workflow_one_squadron_one_training_year,No test walked the whole journey in order. Per-endpoint tests structurally cannot see a step whose output stops being usable as the next step's input.,"Built the 27-step workflow at the API layer, where both surfaces meet; ALSO browser-verified all 7 Issue #62 DoD items live in Chrome against localhost:8080/8766/8200",backend/tests/test_golden_workflow.py,"27 ordered steps in one test: squadron setup, timing template, year, parade dates, holiday, facilitator, room, stage, class, PW scheduling, deliberate double-booking, derived review, override with reason, cross-surface rename, publish blocked then cleared then published, outcome recorded, status history, audit entry. Red-green verified by making PW's PATCH drop facilitator_id -- the chain breaks downstream, at conflict detection. BROWSER EVIDENCE (2026-09-20): B-05 Add Cadet (openAddCadetModal 4-step PASS); B-06 CEA import missing-header error PASS; B-07 Print workflow timing chain PASS; B-08 Needs Attention single canonical queue PASS; B-09 Unit Setup TMS create/edit/archive -> PW Year 2026 reflection PASS; B-10 Curriculum Matrix tab absent + dead code removed PASS.",,PARTIAL,Not a full 27-step browser run but all Issue #62 DoD items live-verified,"Exercises the API path both frontends share, not the rendering. Browser coverage DOES exist for both surfaces separately: frontend/e2e (14 specs, playwright.config.ts, PW on :5173) and frontend/e2e-connected (45 specs, playwright.connected.config.ts, connected-frontend on :8080). What no single run does is carry one workflow ACROSS both in the same browser session -- the two suites have separate configs, base URLs and test directories. B-21 (cross-squadron identity fence in create_cadet + 409 test) and B-22 (created_by audit field) added in commit b51fcf98 (2026-09-19), tested by test_post_cadets_rejects_cross_squadron_service_number and created_by tests in test_issue_62_contracts.py."
P91-01,"Chromium, Firefox, WebKit matrix",Part 91,All 6 CI failures fixed + 3 flaky tests resolved 2026-09-19,docs/final/11-browser-matrix.md,playwright.config.ts / playwright.connected.config.ts projects,"Row said Chromium only. In fact both configs have declared chromium, firefox and webkit all along and all three binaries are installed -- the matrix had simply never been RUN, so nobody knew what it would say.","Ran full matrix; fixed 6 baseline failures and 3 flaky tests; 45 connected specs + 14 PW specs","connected-frontend/index.html; frontend/e2e-connected/accessibility-hardening.spec.ts; session-status-reason-tags.spec.ts; session-training-classes.spec.ts; facilitator-search-clears-on-add.spec.ts","CLUSTER-1 commit 86c3011e fixed all 6 E2E CI failures: CLASS-06 USER-AUTHORISED REMOVAL (pw-nc-classes); HARD-04 focus-visible rule check; VIS-04 tabindex race; main-tms API shape (r.facilitators flat array + field names); session-status-reason-tags Firefox/WebKit. Commits c487b29d (3 flaky), 2abb12bb (webkit re-open + firefox date hash), 6e9bbc24 (WORK-12 month collision) resolved all 3 remaining flaky tests. TypeScript typecheck PASS. 45 connected specs / 14 PW specs.",,IMPLEMENTED,"Full 45-spec × 3-browser matrix run not completed in CI; flakiness resolved but not CI-confirmed","Also fixed a real G11 defect found on the way: div.nav-items-wrap carried role=link with no href, handler, tabindex or name -- a nameless link wrapping the whole menu. No mobile project exists in any config. Full CI matrix run requires a live backend (staging deploy gate)."
P93-01,Forward/rollback/re-forward rehearsal for each migration,Part 93,"Full chain rehearsed 70/70 forward + 70/70 rollback + identical re-upgrade at docs/final/09-migration-rehearsal.md (SHA f2c8e51d7a93); deploy-staging.sh step 10 runs rehearse_migrations.py as a hard gate before every deploy so the chain is re-rehearsed against the current HEAD before any production deploy. B-15 confirmed 2026-09-21: release HEAD is 2020c662; alembic head is 7f61608fa538 — UNCHANGED from rehearsal run (no new migrations added). 70/70 result remains valid. Doc updated with B-15 note.",docs/final/09-migration-rehearsal.md,70/70 forward/rollback; alembic head 7f61608fa538 confirmed unchanged vs release HEAD 2020c662,"B-15 resolved: no new migrations; deploy gate re-runs before any staging/production deploy",Alembic head stable; deploy gate is the live net,backend/alembic/versions/ backend/scripts/rehearse_migrations.py,test_renumber_708_guard.py,deploy-staging.sh step 10 runs rehearsal,IMPLEMENTED,,"B-15 RESOLVED 2026-09-21: rehearsal doc valid for release HEAD; deploy gate handles drift automatically."
P94-01,"No production deployment, migration, reset or cleanup","Part 94, Part 106",Honoured,,,none,Production read-only only,,,production still 860121a,PASS,,Only read-only SELECTs performed against production
HD-01,Squadron 718: archive two orphaned parade nights on production,User 2026-08-29,Blocked awaiting decision,docs/product-review/year-scope-data-audit.md,"718: 0 planning years, 2 live unlinked nights",Requires explicit override of the no-production-writes rule,Stop and ask,,,production read-only,HUMAN DECISION REQUIRED,,Production rows; also unresolved whether 718 is live or defunct
