entity,real_world_meaning,canonical_model,canonical_table,canonical_id,primary_TMS_home,PW_representation,create_authority,edit_authority,archive_policy,delete_policy,scope_rule,year_rule,audit_rule,legacy_models,legacy_status,migration_required,tests,final_status
CEA Activity,External CEA record observed by import,CeaActivity,cea_activities,id,Activities > Import CEA,Read-only planning anchor,import only,local fields only,is_archived,restricted,wing_id + unit_id,planning_year_id,created_by/updated_by,none,n/a,no,cea import tests,CANONICAL (external identity = CEA id)
Facilitator,A person who delivers training,Facilitator,facilitators,id,Facilitators,Availability and suitability while scheduling,sqn_admin+,sqn_admin+,is_archived,dependency-gated,wing_id + squadron_id,not year-scoped,created_by/updated_by,none,n/a,no,facilitator-*.spec.ts,CANONICAL
Subject Area,Governed subject taxonomy,SubjectAreaTag,subject_area_tags,id,Reference Data,Filter when matching facilitators,wing/national,scope-dependent,NO is_archived,restricted,wing_id + squadron_id ONLY - NO national_id,not year-scoped,created_by/updated_by,none,n/a,YES - add national scope,subject-area-tags CRUD in deploy gate,GAP: Part 44 requires National scope; column absent
Training Area,Where training occurs,TrainingArea,training_areas,id,Resources & Training Areas,Selection with capability and conflict view,sqn_admin+,sqn_admin+,is_archived,dependency-gated,squadron_id,not year-scoped,created_by/updated_by,PlanningLocation,"ALREADY REMOVED - no model, 0 writes",no,training area tests,CANONICAL
Training Area capability,What a room can support,TrainingAreaCapabilityTag,training_area_capability_tags,id,Reference Data,Filter during area selection (Part 24),wing/national,scope-dependent,varies,restricted,scoped tag,not year-scoped,created_by/updated_by,none,n/a,no,v56 migration tests,CANONICAL (PW surfacing unverified)
Equipment,Trackable squadron equipment,Equipment,equipment,id,Resources,Optional requirement warning,sqn_admin+,sqn_admin+,is_archived,dependency-gated,squadron_id,not year-scoped,created_by/updated_by,none,n/a,no,equipment tests,CANONICAL
Holiday,A non-training date,HolidayPeriod,holiday_periods,id,Activities > Holidays,Excluded dates on the canvas,sqn_admin+,sqn_admin+,NO is_archived,hard delete,NONE - inherits scope via planning_year_id,planning_year_id (NOT NULL),created_by/updated_by,none,n/a,no,holiday tests,CANONICAL (never date-shifted on copy)
Notice,A planning note,PlanningNotice,planning_notices,id,Parade Night detail,Inline note on the canvas,sqn_admin+,sqn_admin+,is_archived,dependency-gated,NONE - via planning_year_id,planning_year_id,version,none,n/a,no,parade-night-notices.spec.ts,CANONICAL
Mission / Backlog item,Work still to be placed in the plan,derived,(no table),n/a,not a TMS page,Mission Backlog panel,"derived, not created",n/a,n/a,n/a,derived from session/curriculum scope,derived from the year in context,n/a,none,n/a,no,mission backlog tests,DERIVED - correctly has no second store
Account,A system login,User,users,id,Account Management,MUST NOT manage (Part 48),scope-dependent admin,scope-dependent admin,is_archived,dependency-gated permanent delete,national_id + wing_id + squadron_id,not year-scoped,audit_logs + created_by/updated_by,none,n/a,no,account-management.spec.ts (4),CANONICAL
Organisation,National / Wing / Squadron,NationalEntity / Wing / Squadron,national_entities / wings / squadrons,id,Account Management > Configuration,read-only context,system/national,scope-dependent,is_archived,dependency-gated,hierarchical; Flight is NOT tenancy,not year-scoped,created_by/updated_by,none,n/a,no,org tests,CANONICAL
Audit history,"What changed, by whom",AuditLog,audit_logs,id,Audit Log,Contextual 'who changed this' only,system-written,IMMUTABLE,no is_archived,never deleted,wing_id + squadron_id,not year-scoped,is the audit,none,n/a,no,audit tests,CANONICAL
Parade Date,"A year's scheduled date, PW-side",ParadeDate,parade_dates,id,"generated, not directly managed",The date row on the canvas,generation only,limited,NO is_archived,cascade with year,unit_id,planning_year_id (NOT NULL),none,ParadeNight linkage via parade_night_id,"joined, both retained deliberately",no,parade-night-year-linkage.spec.ts,CANONICAL PAIR
